benchmark,size,backend,run,timestamp,compile_time_seconds,status,error
biometric,"D: 4, N: 512",motion,1,2026-04-22T12:03:38Z,0.204597,ok,
biometric,"D: 4, N: 512",motion,2,2026-04-22T12:03:38Z,0.187663,ok,
biometric,"D: 4, N: 512",motion,3,2026-04-22T12:03:38Z,0.191490,ok,
biometric,"D: 4, N: 512",motion,4,2026-04-22T12:03:38Z,0.190939,ok,
biometric,"D: 4, N: 512",motion,5,2026-04-22T12:03:38Z,0.208555,ok,
biometric,"D: 4, N: 512",motion,6,2026-04-22T12:03:39Z,0.191376,ok,
biometric,"D: 4, N: 512",motion,7,2026-04-22T12:03:39Z,0.185121,ok,
biometric,"D: 4, N: 512",motion,8,2026-04-22T12:03:39Z,0.199704,ok,
biometric,"D: 4, N: 512",motion,9,2026-04-22T12:03:39Z,0.184803,ok,
biometric,"D: 4, N: 512",motion,10,2026-04-22T12:03:39Z,0.181808,ok,
biometric,"D: 4, N: 512",mp_spdz,1,2026-04-22T12:03:39Z,0.197657,ok,
biometric,"D: 4, N: 512",mp_spdz,2,2026-04-22T12:03:40Z,0.206350,ok,
biometric,"D: 4, N: 512",mp_spdz,3,2026-04-22T12:03:40Z,0.194485,ok,
biometric,"D: 4, N: 512",mp_spdz,4,2026-04-22T12:03:40Z,0.198953,ok,
biometric,"D: 4, N: 512",mp_spdz,5,2026-04-22T12:03:40Z,0.202645,ok,
biometric,"D: 4, N: 512",mp_spdz,6,2026-04-22T12:03:40Z,0.219138,ok,
biometric,"D: 4, N: 512",mp_spdz,7,2026-04-22T12:03:41Z,0.197675,ok,
biometric,"D: 4, N: 512",mp_spdz,8,2026-04-22T12:03:41Z,0.201588,ok,
biometric,"D: 4, N: 512",mp_spdz,9,2026-04-22T12:03:41Z,0.201695,ok,
biometric,"D: 4, N: 512",mp_spdz,10,2026-04-22T12:03:41Z,0.215471,ok,
biometric,"D: 4, N: 1024",motion,1,2026-04-22T12:03:41Z,0.206825,ok,
biometric,"D: 4, N: 1024",motion,2,2026-04-22T12:03:42Z,0.201848,ok,
biometric,"D: 4, N: 1024",motion,3,2026-04-22T12:03:42Z,0.223550,ok,
biometric,"D: 4, N: 1024",motion,4,2026-04-22T12:03:42Z,0.214810,ok,
biometric,"D: 4, N: 1024",motion,5,2026-04-22T12:03:42Z,0.202153,ok,
biometric,"D: 4, N: 1024",motion,6,2026-04-22T12:03:43Z,0.201415,ok,
biometric,"D: 4, N: 1024",motion,7,2026-04-22T12:03:43Z,0.216650,ok,
biometric,"D: 4, N: 1024",motion,8,2026-04-22T12:03:43Z,0.202874,ok,
biometric,"D: 4, N: 1024",motion,9,2026-04-22T12:03:43Z,0.205726,ok,
biometric,"D: 4, N: 1024",motion,10,2026-04-22T12:03:43Z,0.200787,ok,
biometric,"D: 4, N: 1024",mp_spdz,1,2026-04-22T12:03:44Z,0.227714,ok,
biometric,"D: 4, N: 1024",mp_spdz,2,2026-04-22T12:03:44Z,0.209496,ok,
biometric,"D: 4, N: 1024",mp_spdz,3,2026-04-22T12:03:44Z,0.204982,ok,
biometric,"D: 4, N: 1024",mp_spdz,4,2026-04-22T12:03:44Z,0.212254,ok,
biometric,"D: 4, N: 1024",mp_spdz,5,2026-04-22T12:03:44Z,0.226311,ok,
biometric,"D: 4, N: 1024",mp_spdz,6,2026-04-22T12:03:45Z,0.212273,ok,
biometric,"D: 4, N: 1024",mp_spdz,7,2026-04-22T12:03:45Z,0.211218,ok,
biometric,"D: 4, N: 1024",mp_spdz,8,2026-04-22T12:03:45Z,0.214181,ok,
biometric,"D: 4, N: 1024",mp_spdz,9,2026-04-22T12:03:45Z,0.230367,ok,
biometric,"D: 4, N: 1024",mp_spdz,10,2026-04-22T12:03:46Z,0.218906,ok,
biometric_fast,"D: 4, N: 128",motion,1,2026-04-22T12:03:46Z,0.519524,ok,
biometric_fast,"D: 4, N: 128",motion,2,2026-04-22T12:03:46Z,0.535797,ok,
biometric_fast,"D: 4, N: 128",motion,3,2026-04-22T12:03:47Z,0.535544,ok,
biometric_fast,"D: 4, N: 128",motion,4,2026-04-22T12:03:47Z,0.531328,ok,
biometric_fast,"D: 4, N: 128",motion,5,2026-04-22T12:03:48Z,0.529469,ok,
biometric_fast,"D: 4, N: 128",motion,6,2026-04-22T12:03:48Z,0.533643,ok,
biometric_fast,"D: 4, N: 128",motion,7,2026-04-22T12:03:49Z,0.534736,ok,
biometric_fast,"D: 4, N: 128",motion,8,2026-04-22T12:03:49Z,0.531666,ok,
biometric_fast,"D: 4, N: 128",motion,9,2026-04-22T12:03:50Z,0.537137,ok,
biometric_fast,"D: 4, N: 128",motion,10,2026-04-22T12:03:51Z,0.534981,ok,
biometric_fast,"D: 4, N: 128",mp_spdz,1,2026-04-22T12:03:51Z,0.593211,ok,
biometric_fast,"D: 4, N: 128",mp_spdz,2,2026-04-22T12:03:52Z,0.600719,ok,
biometric_fast,"D: 4, N: 128",mp_spdz,3,2026-04-22T12:03:52Z,0.620342,ok,
biometric_fast,"D: 4, N: 128",mp_spdz,4,2026-04-22T12:03:53Z,0.604833,ok,
biometric_fast,"D: 4, N: 128",mp_spdz,5,2026-04-22T12:03:54Z,0.610033,ok,
biometric_fast,"D: 4, N: 128",mp_spdz,6,2026-04-22T12:03:54Z,0.586926,ok,
biometric_fast,"D: 4, N: 128",mp_spdz,7,2026-04-22T12:03:55Z,0.577009,ok,
biometric_fast,"D: 4, N: 128",mp_spdz,8,2026-04-22T12:03:55Z,0.853555,ok,
biometric_fast,"D: 4, N: 128",mp_spdz,9,2026-04-22T12:03:56Z,0.624054,ok,
biometric_fast,"D: 4, N: 128",mp_spdz,10,2026-04-22T12:03:57Z,0.595123,ok,
chapterfour_figure_12,"x=27, y=13",motion,1,2026-04-22T12:03:57Z,0.057591,ok,
chapterfour_figure_12,"x=27, y=13",motion,2,2026-04-22T12:03:57Z,0.057005,ok,
chapterfour_figure_12,"x=27, y=13",motion,3,2026-04-22T12:03:57Z,0.053776,ok,
chapterfour_figure_12,"x=27, y=13",motion,4,2026-04-22T12:03:58Z,0.055859,ok,
chapterfour_figure_12,"x=27, y=13",motion,5,2026-04-22T12:03:58Z,0.060133,ok,
chapterfour_figure_12,"x=27, y=13",motion,6,2026-04-22T12:03:58Z,0.058708,ok,
chapterfour_figure_12,"x=27, y=13",motion,7,2026-04-22T12:03:58Z,0.055085,ok,
chapterfour_figure_12,"x=27, y=13",motion,8,2026-04-22T12:03:58Z,0.054571,ok,
chapterfour_figure_12,"x=27, y=13",motion,9,2026-04-22T12:03:58Z,0.055578,ok,
chapterfour_figure_12,"x=27, y=13",motion,10,2026-04-22T12:03:58Z,0.059996,ok,
chapterfour_figure_12,"x=27, y=13",mp_spdz,1,2026-04-22T12:03:58Z,0.064418,ok,
chapterfour_figure_12,"x=27, y=13",mp_spdz,2,2026-04-22T12:03:58Z,0.073548,ok,
chapterfour_figure_12,"x=27, y=13",mp_spdz,3,2026-04-22T12:03:58Z,0.059401,ok,
chapterfour_figure_12,"x=27, y=13",mp_spdz,4,2026-04-22T12:03:58Z,0.056999,ok,
chapterfour_figure_12,"x=27, y=13",mp_spdz,5,2026-04-22T12:03:58Z,0.058237,ok,
chapterfour_figure_12,"x=27, y=13",mp_spdz,6,2026-04-22T12:03:58Z,0.058387,ok,
chapterfour_figure_12,"x=27, y=13",mp_spdz,7,2026-04-22T12:03:58Z,0.056291,ok,
chapterfour_figure_12,"x=27, y=13",mp_spdz,8,2026-04-22T12:03:58Z,0.059522,ok,
chapterfour_figure_12,"x=27, y=13",mp_spdz,9,2026-04-22T12:03:58Z,0.056148,ok,
chapterfour_figure_12,"x=27, y=13",mp_spdz,10,2026-04-22T12:03:58Z,0.057950,ok,
convex_hull,N: 32,motion,1,2026-04-22T12:03:59Z,5.243898,ok,
convex_hull,N: 32,motion,2,2026-04-22T12:04:04Z,4.891662,ok,
convex_hull,N: 32,motion,3,2026-04-22T12:04:09Z,4.805571,ok,
convex_hull,N: 32,motion,4,2026-04-22T12:04:13Z,4.591722,ok,
convex_hull,N: 32,motion,5,2026-04-22T12:04:18Z,4.604204,ok,
convex_hull,N: 32,motion,6,2026-04-22T12:04:23Z,4.609667,ok,
convex_hull,N: 32,motion,7,2026-04-22T12:04:27Z,4.628800,ok,
convex_hull,N: 32,motion,8,2026-04-22T12:04:32Z,4.598756,ok,
convex_hull,N: 32,motion,9,2026-04-22T12:04:37Z,4.565778,ok,
convex_hull,N: 32,motion,10,2026-04-22T12:04:41Z,4.638792,ok,
convex_hull,N: 32,mp_spdz,1,2026-04-22T12:04:46Z,8.057099,ok,
convex_hull,N: 32,mp_spdz,2,2026-04-22T12:04:54Z,7.773767,ok,
convex_hull,N: 32,mp_spdz,3,2026-04-22T12:05:02Z,7.943598,ok,
convex_hull,N: 32,mp_spdz,4,2026-04-22T12:05:09Z,7.956502,ok,
convex_hull,N: 32,mp_spdz,5,2026-04-22T12:05:17Z,8.095224,ok,
convex_hull,N: 32,mp_spdz,6,2026-04-22T12:05:26Z,7.999392,ok,
convex_hull,N: 32,mp_spdz,7,2026-04-22T12:05:34Z,8.058930,ok,
convex_hull,N: 32,mp_spdz,8,2026-04-22T12:05:42Z,8.674186,ok,
convex_hull,N: 32,mp_spdz,9,2026-04-22T12:05:50Z,8.767949,ok,
convex_hull,N: 32,mp_spdz,10,2026-04-22T12:05:59Z,7.939926,ok,
convex_hull,N: 64,motion,1,2026-04-22T12:06:07Z,4.571738,ok,
convex_hull,N: 64,motion,2,2026-04-22T12:06:12Z,4.673025,ok,
convex_hull,N: 64,motion,3,2026-04-22T12:06:16Z,4.605083,ok,
convex_hull,N: 64,motion,4,2026-04-22T12:06:21Z,4.608825,ok,
convex_hull,N: 64,motion,5,2026-04-22T12:06:25Z,4.693748,ok,
convex_hull,N: 64,motion,6,2026-04-22T12:06:30Z,4.576247,ok,
convex_hull,N: 64,motion,7,2026-04-22T12:06:35Z,4.661083,ok,
convex_hull,N: 64,motion,8,2026-04-22T12:06:39Z,4.706216,ok,
convex_hull,N: 64,motion,9,2026-04-22T12:06:44Z,4.570086,ok,
convex_hull,N: 64,motion,10,2026-04-22T12:06:49Z,4.584238,ok,
convex_hull,N: 64,mp_spdz,1,2026-04-22T12:06:53Z,7.711369,ok,
convex_hull,N: 64,mp_spdz,2,2026-04-22T12:07:01Z,7.807712,ok,
convex_hull,N: 64,mp_spdz,3,2026-04-22T12:07:09Z,7.780508,ok,
convex_hull,N: 64,mp_spdz,4,2026-04-22T12:07:17Z,7.817990,ok,
convex_hull,N: 64,mp_spdz,5,2026-04-22T12:07:24Z,8.008468,ok,
convex_hull,N: 64,mp_spdz,6,2026-04-22T12:07:32Z,8.455528,ok,
convex_hull,N: 64,mp_spdz,7,2026-04-22T12:07:41Z,8.791402,ok,
convex_hull,N: 64,mp_spdz,8,2026-04-22T12:07:50Z,7.971696,ok,
convex_hull,N: 64,mp_spdz,9,2026-04-22T12:07:58Z,8.047779,ok,
convex_hull,N: 64,mp_spdz,10,2026-04-22T12:08:06Z,7.957915,ok,
convex_hull,N: 128,motion,1,2026-04-22T12:08:14Z,4.666919,ok,
convex_hull,N: 128,motion,2,2026-04-22T12:08:18Z,4.650366,ok,
convex_hull,N: 128,motion,3,2026-04-22T12:08:23Z,4.596682,ok,
convex_hull,N: 128,motion,4,2026-04-22T12:08:27Z,4.574972,ok,
convex_hull,N: 128,motion,5,2026-04-22T12:08:32Z,4.613734,ok,
convex_hull,N: 128,motion,6,2026-04-22T12:08:37Z,4.671708,ok,
convex_hull,N: 128,motion,7,2026-04-22T12:08:41Z,4.737131,ok,
convex_hull,N: 128,motion,8,2026-04-22T12:08:46Z,4.715622,ok,
convex_hull,N: 128,motion,9,2026-04-22T12:08:51Z,4.850373,ok,
convex_hull,N: 128,motion,10,2026-04-22T12:08:56Z,4.628028,ok,
convex_hull,N: 128,mp_spdz,1,2026-04-22T12:09:00Z,7.935103,ok,
convex_hull,N: 128,mp_spdz,2,2026-04-22T12:09:08Z,7.852603,ok,
convex_hull,N: 128,mp_spdz,3,2026-04-22T12:09:16Z,7.935414,ok,
convex_hull,N: 128,mp_spdz,4,2026-04-22T12:09:24Z,8.762418,ok,
convex_hull,N: 128,mp_spdz,5,2026-04-22T12:09:33Z,8.490603,ok,
convex_hull,N: 128,mp_spdz,6,2026-04-22T12:09:41Z,7.884751,ok,
convex_hull,N: 128,mp_spdz,7,2026-04-22T12:09:49Z,7.914721,ok,
convex_hull,N: 128,mp_spdz,8,2026-04-22T12:09:57Z,7.902241,ok,
convex_hull,N: 128,mp_spdz,9,2026-04-22T12:10:05Z,8.023709,ok,
convex_hull,N: 128,mp_spdz,10,2026-04-22T12:10:13Z,7.922683,ok,
convex_hull,N: 256,motion,1,2026-04-22T12:10:21Z,4.591526,ok,
convex_hull,N: 256,motion,2,2026-04-22T12:10:26Z,4.478645,ok,
convex_hull,N: 256,motion,3,2026-04-22T12:10:30Z,4.373701,ok,
convex_hull,N: 256,motion,4,2026-04-22T12:10:34Z,4.470495,ok,
convex_hull,N: 256,motion,5,2026-04-22T12:10:39Z,4.514364,ok,
convex_hull,N: 256,motion,6,2026-04-22T12:10:43Z,4.478033,ok,
convex_hull,N: 256,motion,7,2026-04-22T12:10:48Z,4.437615,ok,
convex_hull,N: 256,motion,8,2026-04-22T12:10:52Z,4.473335,ok,
convex_hull,N: 256,motion,9,2026-04-22T12:10:57Z,4.458419,ok,
convex_hull,N: 256,motion,10,2026-04-22T12:11:01Z,4.392746,ok,
convex_hull,N: 256,mp_spdz,1,2026-04-22T12:11:06Z,8.068892,ok,
convex_hull,N: 256,mp_spdz,2,2026-04-22T12:11:14Z,7.819557,ok,
convex_hull,N: 256,mp_spdz,3,2026-04-22T12:11:21Z,8.657143,ok,
convex_hull,N: 256,mp_spdz,4,2026-04-22T12:11:30Z,7.996404,ok,
convex_hull,N: 256,mp_spdz,5,2026-04-22T12:11:38Z,7.961696,ok,
convex_hull,N: 256,mp_spdz,6,2026-04-22T12:11:46Z,7.955855,ok,
convex_hull,N: 256,mp_spdz,7,2026-04-22T12:11:54Z,7.925106,ok,
convex_hull,N: 256,mp_spdz,8,2026-04-22T12:12:02Z,7.742108,ok,
convex_hull,N: 256,mp_spdz,9,2026-04-22T12:12:10Z,7.901186,ok,
convex_hull,N: 256,mp_spdz,10,2026-04-22T12:12:18Z,7.846330,ok,
count_102,N: 1024,motion,1,2026-04-22T12:12:25Z,0.262619,ok,
count_102,N: 1024,motion,2,2026-04-22T12:12:26Z,0.271808,ok,
count_102,N: 1024,motion,3,2026-04-22T12:12:26Z,0.280805,ok,
count_102,N: 1024,motion,4,2026-04-22T12:12:26Z,0.267015,ok,
count_102,N: 1024,motion,5,2026-04-22T12:12:27Z,0.268918,ok,
count_102,N: 1024,motion,6,2026-04-22T12:12:27Z,0.285756,ok,
count_102,N: 1024,motion,7,2026-04-22T12:12:27Z,0.268824,ok,
count_102,N: 1024,motion,8,2026-04-22T12:12:27Z,0.269207,ok,
count_102,N: 1024,motion,9,2026-04-22T12:12:28Z,0.277124,ok,
count_102,N: 1024,motion,10,2026-04-22T12:12:28Z,0.266027,ok,
count_102,N: 1024,mp_spdz,1,2026-04-22T12:12:28Z,0.265898,ok,
count_102,N: 1024,mp_spdz,2,2026-04-22T12:12:28Z,0.291458,ok,
count_102,N: 1024,mp_spdz,3,2026-04-22T12:12:29Z,0.274748,ok,
count_102,N: 1024,mp_spdz,4,2026-04-22T12:12:29Z,0.275823,ok,
count_102,N: 1024,mp_spdz,5,2026-04-22T12:12:29Z,0.269756,ok,
count_102,N: 1024,mp_spdz,6,2026-04-22T12:12:30Z,0.281198,ok,
count_102,N: 1024,mp_spdz,7,2026-04-22T12:12:30Z,0.267947,ok,
count_102,N: 1024,mp_spdz,8,2026-04-22T12:12:30Z,0.266487,ok,
count_102,N: 1024,mp_spdz,9,2026-04-22T12:12:30Z,0.268322,ok,
count_102,N: 1024,mp_spdz,10,2026-04-22T12:12:31Z,0.284913,ok,
count_102,N: 4096,motion,1,2026-04-22T12:12:31Z,0.291819,ok,
count_102,N: 4096,motion,2,2026-04-22T12:12:31Z,0.276921,ok,
count_102,N: 4096,motion,3,2026-04-22T12:12:32Z,0.291440,ok,
count_102,N: 4096,motion,4,2026-04-22T12:12:32Z,0.283825,ok,
count_102,N: 4096,motion,5,2026-04-22T12:12:32Z,0.283146,ok,
count_102,N: 4096,motion,6,2026-04-22T12:12:32Z,0.299411,ok,
count_102,N: 4096,motion,7,2026-04-22T12:12:33Z,0.285784,ok,
count_102,N: 4096,motion,8,2026-04-22T12:12:33Z,0.284188,ok,
count_102,N: 4096,motion,9,2026-04-22T12:12:33Z,0.313282,ok,
count_102,N: 4096,motion,10,2026-04-22T12:12:34Z,0.288020,ok,
count_102,N: 4096,mp_spdz,1,2026-04-22T12:12:34Z,0.283822,ok,
count_102,N: 4096,mp_spdz,2,2026-04-22T12:12:34Z,0.283852,ok,
count_102,N: 4096,mp_spdz,3,2026-04-22T12:12:34Z,0.289092,ok,
count_102,N: 4096,mp_spdz,4,2026-04-22T12:12:35Z,0.279346,ok,
count_102,N: 4096,mp_spdz,5,2026-04-22T12:12:35Z,0.283874,ok,
count_102,N: 4096,mp_spdz,6,2026-04-22T12:12:35Z,0.287732,ok,
count_102,N: 4096,mp_spdz,7,2026-04-22T12:12:36Z,0.289594,ok,
count_102,N: 4096,mp_spdz,8,2026-04-22T12:12:36Z,0.277039,ok,
count_102,N: 4096,mp_spdz,9,2026-04-22T12:12:36Z,0.280763,ok,
count_102,N: 4096,mp_spdz,10,2026-04-22T12:12:36Z,0.294401,ok,
count_10s,N: 1024,motion,1,2026-04-22T12:12:37Z,0.328946,ok,
count_10s,N: 1024,motion,2,2026-04-22T12:12:37Z,0.331712,ok,
count_10s,N: 1024,motion,3,2026-04-22T12:12:37Z,0.349070,ok,
count_10s,N: 1024,motion,4,2026-04-22T12:12:38Z,0.322235,ok,
count_10s,N: 1024,motion,5,2026-04-22T12:12:38Z,0.338729,ok,
count_10s,N: 1024,motion,6,2026-04-22T12:12:38Z,0.332534,ok,
count_10s,N: 1024,motion,7,2026-04-22T12:12:39Z,0.335918,ok,
count_10s,N: 1024,motion,8,2026-04-22T12:12:39Z,0.351982,ok,
count_10s,N: 1024,motion,9,2026-04-22T12:12:39Z,0.325326,ok,
count_10s,N: 1024,motion,10,2026-04-22T12:12:40Z,0.337995,ok,
count_10s,N: 1024,mp_spdz,1,2026-04-22T12:12:40Z,0.315627,ok,
count_10s,N: 1024,mp_spdz,2,2026-04-22T12:12:40Z,0.323856,ok,
count_10s,N: 1024,mp_spdz,3,2026-04-22T12:12:41Z,0.331348,ok,
count_10s,N: 1024,mp_spdz,4,2026-04-22T12:12:41Z,0.316488,ok,
count_10s,N: 1024,mp_spdz,5,2026-04-22T12:12:41Z,0.354548,ok,
count_10s,N: 1024,mp_spdz,6,2026-04-22T12:12:42Z,0.338347,ok,
count_10s,N: 1024,mp_spdz,7,2026-04-22T12:12:42Z,0.330829,ok,
count_10s,N: 1024,mp_spdz,8,2026-04-22T12:12:42Z,0.342103,ok,
count_10s,N: 1024,mp_spdz,9,2026-04-22T12:12:43Z,0.414766,ok,
count_10s,N: 1024,mp_spdz,10,2026-04-22T12:12:43Z,0.493193,ok,
count_10s,N: 4096,motion,1,2026-04-22T12:12:44Z,0.392964,ok,
count_10s,N: 4096,motion,2,2026-04-22T12:12:44Z,0.354711,ok,
count_10s,N: 4096,motion,3,2026-04-22T12:12:44Z,0.372225,ok,
count_10s,N: 4096,motion,4,2026-04-22T12:12:45Z,0.349295,ok,
count_10s,N: 4096,motion,5,2026-04-22T12:12:45Z,0.364990,ok,
count_10s,N: 4096,motion,6,2026-04-22T12:12:45Z,0.343656,ok,
count_10s,N: 4096,motion,7,2026-04-22T12:12:46Z,0.347272,ok,
count_10s,N: 4096,motion,8,2026-04-22T12:12:46Z,0.363546,ok,
count_10s,N: 4096,motion,9,2026-04-22T12:12:47Z,0.345950,ok,
count_10s,N: 4096,motion,10,2026-04-22T12:12:47Z,0.367180,ok,
count_10s,N: 4096,mp_spdz,1,2026-04-22T12:12:47Z,0.337522,ok,
count_10s,N: 4096,mp_spdz,2,2026-04-22T12:12:48Z,0.338435,ok,
count_10s,N: 4096,mp_spdz,3,2026-04-22T12:12:48Z,0.351499,ok,
count_10s,N: 4096,mp_spdz,4,2026-04-22T12:12:48Z,0.341362,ok,
count_10s,N: 4096,mp_spdz,5,2026-04-22T12:12:49Z,0.332109,ok,
count_10s,N: 4096,mp_spdz,6,2026-04-22T12:12:49Z,0.348459,ok,
count_10s,N: 4096,mp_spdz,7,2026-04-22T12:12:49Z,0.339058,ok,
count_10s,N: 4096,mp_spdz,8,2026-04-22T12:12:50Z,0.347934,ok,
count_10s,N: 4096,mp_spdz,9,2026-04-22T12:12:50Z,0.338661,ok,
count_10s,N: 4096,mp_spdz,10,2026-04-22T12:12:50Z,0.346646,ok,
count_123,N: 1024,motion,1,2026-04-22T12:12:51Z,0.388940,ok,
count_123,N: 1024,motion,2,2026-04-22T12:12:51Z,0.378242,ok,
count_123,N: 1024,motion,3,2026-04-22T12:12:51Z,0.393985,ok,
count_123,N: 1024,motion,4,2026-04-22T12:12:52Z,0.378270,ok,
count_123,N: 1024,motion,5,2026-04-22T12:12:52Z,0.409325,ok,
count_123,N: 1024,motion,6,2026-04-22T12:12:53Z,0.376782,ok,
count_123,N: 1024,motion,7,2026-04-22T12:12:53Z,0.386052,ok,
count_123,N: 1024,motion,8,2026-04-22T12:12:53Z,0.378562,ok,
count_123,N: 1024,motion,9,2026-04-22T12:12:54Z,0.389398,ok,
count_123,N: 1024,motion,10,2026-04-22T12:12:54Z,0.376868,ok,
count_123,N: 1024,mp_spdz,1,2026-04-22T12:12:55Z,0.399970,ok,
count_123,N: 1024,mp_spdz,2,2026-04-22T12:12:55Z,0.389382,ok,
count_123,N: 1024,mp_spdz,3,2026-04-22T12:12:55Z,0.401788,ok,
count_123,N: 1024,mp_spdz,4,2026-04-22T12:12:56Z,0.374561,ok,
count_123,N: 1024,mp_spdz,5,2026-04-22T12:12:56Z,0.396510,ok,
count_123,N: 1024,mp_spdz,6,2026-04-22T12:12:57Z,0.391979,ok,
count_123,N: 1024,mp_spdz,7,2026-04-22T12:12:57Z,0.376681,ok,
count_123,N: 1024,mp_spdz,8,2026-04-22T12:12:57Z,0.398268,ok,
count_123,N: 1024,mp_spdz,9,2026-04-22T12:12:58Z,0.392360,ok,
count_123,N: 1024,mp_spdz,10,2026-04-22T12:12:58Z,0.398839,ok,
