benchmark,size,backend,timestamp,compile_time_seconds,status,error
biometric,"D: 4, N: 1024",motion,2026-04-22T12:03:43Z,0.207664,ok,
biometric,"D: 4, N: 1024",mp_spdz,2026-04-22T12:03:46Z,0.216770,ok,
biometric,"D: 4, N: 512",motion,2026-04-22T12:03:39Z,0.192606,ok,
biometric,"D: 4, N: 512",mp_spdz,2026-04-22T12:03:41Z,0.203566,ok,
biometric_fast,"D: 4, N: 128",motion,2026-04-22T12:03:51Z,0.532382,ok,
biometric_fast,"D: 4, N: 128",mp_spdz,2026-04-22T12:03:57Z,0.626580,ok,
chapterfour_figure_12,"x=27, y=13",motion,2026-04-22T12:03:58Z,0.056830,ok,
chapterfour_figure_12,"x=27, y=13",mp_spdz,2026-04-22T12:03:58Z,0.060090,ok,
convex_hull,N: 128,motion,2026-04-22T12:08:56Z,4.670553,ok,
convex_hull,N: 128,mp_spdz,2026-04-22T12:10:13Z,8.062425,ok,
convex_hull,N: 256,motion,2026-04-22T12:11:01Z,4.466888,ok,
convex_hull,N: 256,mp_spdz,2026-04-22T12:12:18Z,7.987428,ok,
convex_hull,N: 32,motion,2026-04-22T12:04:41Z,4.717885,ok,
convex_hull,N: 32,mp_spdz,2026-04-22T12:05:59Z,8.126657,ok,
convex_hull,N: 64,motion,2026-04-22T12:06:49Z,4.625029,ok,
convex_hull,N: 64,mp_spdz,2026-04-22T12:08:06Z,8.035037,ok,
count_102,N: 1024,motion,2026-04-22T12:12:28Z,0.271810,ok,
count_102,N: 1024,mp_spdz,2026-04-22T12:12:31Z,0.274655,ok,
count_102,N: 4096,motion,2026-04-22T12:12:34Z,0.289784,ok,
count_102,N: 4096,mp_spdz,2026-04-22T12:12:36Z,0.284952,ok,
count_10s,N: 1024,motion,2026-04-22T12:12:40Z,0.335445,ok,
count_10s,N: 1024,mp_spdz,2026-04-22T12:12:43Z,0.356110,ok,
count_10s,N: 4096,motion,2026-04-22T12:12:47Z,0.360179,ok,
count_10s,N: 4096,mp_spdz,2026-04-22T12:12:50Z,0.342168,ok,
count_123,N: 1024,motion,2026-04-22T12:12:54Z,0.385642,ok,
count_123,N: 1024,mp_spdz,2026-04-22T12:12:58Z,0.392034,ok,
count_123,N: 4096,motion,2026-04-22T12:13:02Z,0.416678,ok,
count_123,N: 4096,mp_spdz,2026-04-22T12:13:07Z,0.445418,ok,
cryptonets_max_pooling,"rows: 16, cols: 16",motion,2026-04-22T12:14:29Z,9.037990,ok,
cryptonets_max_pooling,"rows: 16, cols: 16",mp_spdz,2026-04-22T12:15:26Z,5.357180,ok,
db_cross_join_trivial,"32, 32",motion,2026-04-22T12:16:08Z,4.065653,ok,
db_cross_join_trivial,"32, 32",mp_spdz,2026-04-22T12:17:01Z,5.507870,ok,
db_cross_join_trivial,"64, 64",motion,2026-04-22T12:17:44Z,4.140021,ok,
db_cross_join_trivial,"64, 64",mp_spdz,2026-04-22T12:18:38Z,5.620937,ok,
db_variance,len: 1024,motion,2026-04-22T12:18:49Z,0.168550,ok,
db_variance,len: 1024,mp_spdz,2026-04-22T12:18:50Z,0.140064,ok,
db_variance,len: 2048,motion,2026-04-22T12:18:52Z,0.179674,ok,
db_variance,len: 2048,mp_spdz,2026-04-22T12:18:54Z,0.152400,ok,
db_variance,len: 4096,motion,2026-04-22T12:18:56Z,0.202425,ok,
db_variance,len: 4096,mp_spdz,2026-04-22T12:18:58Z,0.172425,ok,
db_variance,len: 512,motion,2026-04-22T12:18:46Z,0.160816,ok,
db_variance,len: 512,mp_spdz,2026-04-22T12:18:47Z,0.136344,ok,
inner_product,N: 4096,motion,2026-04-22T12:18:59Z,0.073731,ok,
inner_product,N: 4096,mp_spdz,2026-04-22T12:19:00Z,0.072522,ok,
inner_product,N: 512,motion,2026-04-22T12:18:58Z,0.036659,ok,
inner_product,N: 512,mp_spdz,2026-04-22T12:18:58Z,0.036846,ok,
longest_102,N: 1024,motion,2026-04-22T12:19:04Z,0.441211,ok,
longest_102,N: 1024,mp_spdz,2026-04-22T12:19:08Z,0.455806,ok,
longest_102,N: 4096,motion,2026-04-22T12:19:13Z,0.452170,ok,
longest_102,N: 4096,mp_spdz,2026-04-22T12:19:18Z,0.453523,ok,
longest_odd_10,N: 2048,motion,2026-04-22T12:19:20Z,0.242290,ok,
longest_odd_10,N: 2048,mp_spdz,2026-04-22T12:19:23Z,0.298727,ok,
max_dist_between_syms,N: 1024,motion,2026-04-22T12:19:24Z,0.104564,ok,
max_dist_between_syms,N: 1024,mp_spdz,2026-04-22T12:19:26Z,0.114126,ok,
max_dist_between_syms,N: 2048,motion,2026-04-22T12:19:27Z,0.108143,ok,
max_dist_between_syms,N: 2048,mp_spdz,2026-04-22T12:19:28Z,0.120045,ok,
max_sum_between_syms,N: 1024,motion,2026-04-22T12:19:29Z,0.109516,ok,
max_sum_between_syms,N: 1024,mp_spdz,2026-04-22T12:19:30Z,0.115644,ok,
max_sum_between_syms,N: 2048,motion,2026-04-22T12:19:31Z,0.111374,ok,
max_sum_between_syms,N: 2048,mp_spdz,2026-04-22T12:19:32Z,0.125572,ok,
minimal_points,N: 128,motion,2026-04-22T12:20:18Z,1.068256,ok,
minimal_points,N: 128,mp_spdz,2026-04-22T12:20:27Z,0.871216,ok,
minimal_points,N: 256,motion,2026-04-22T12:20:38Z,1.143037,ok,
minimal_points,N: 256,mp_spdz,2026-04-22T12:20:46Z,0.788204,ok,
minimal_points,N: 32,motion,2026-04-22T12:19:42Z,1.009225,ok,
minimal_points,N: 32,mp_spdz,2026-04-22T12:19:50Z,0.784379,ok,
minimal_points,N: 64,motion,2026-04-22T12:20:00Z,1.012192,ok,
minimal_points,N: 64,mp_spdz,2026-04-22T12:20:08Z,0.781920,ok,
mnist_relu,"16, 2048",motion,2026-04-22T12:20:55Z,0.441214,ok,
mnist_relu,"16, 2048",mp_spdz,2026-04-22T12:21:00Z,0.445308,ok,
mnist_relu,"16, 512",motion,2026-04-22T12:20:49Z,0.181701,ok,
mnist_relu,"16, 512",mp_spdz,2026-04-22T12:20:51Z,0.184384,ok,
psi,"SA: 1024, SB: 1024",motion,2026-04-22T12:21:02Z,0.086525,ok,
psi,"SA: 1024, SB: 1024",mp_spdz,2026-04-22T12:21:03Z,0.094512,ok,
psi,"SA: 128, SB: 128",motion,2026-04-22T12:21:01Z,0.074294,ok,
psi,"SA: 128, SB: 128",mp_spdz,2026-04-22T12:21:02Z,0.084798,ok,
